,study_site,datetime,snowlines_elevs_median_m,SCA_m2,AAR,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect
0,Wolverine,2013-09-15 15:10:00,1217.3775790568302,9281700.0,0.6023244948020091,1,4,16.749,426,1636,1267,11.0,188
1,Wolverine,2015-08-04 15:07:39,1130.2376481475494,11235600.0,0.7286948400653748,1,4,16.749,426,1636,1267,11.0,188
2,Wolverine,2016-08-31 15:02:02,1128.165946757485,11121300.0,0.7214502568893041,1,4,16.749,426,1636,1267,11.0,188
3,Wolverine,2017-09-29 15:15:10,1234.3054530789834,7414300.0,0.9691135335790656,1,4,16.749,426,1636,1267,11.0,188
4,Wolverine,2018-09-13 15:07:39,1259.4276729230664,8747100.0,0.5926219512195122,1,4,16.749,426,1636,1267,11.0,188
5,Wolverine,2019-08-25 15:18:35,1262.4830193792932,2764600.0,0.366944956929162,1,4,16.749,426,1636,1267,11.0,188
6,Wolverine,2020-08-12 15:28:33,1254.7808653246204,9115800.0,0.6320190247724169,1,4,16.749,426,1636,1267,11.0,188
7,Wolverine,2021-09-11 15:28:44,1267.7708370352505,9125400.0,0.5925815291504863,1,4,16.749,426,1636,1267,11.0,188
8,Wolverine,2022-08-02 15:28:48,1173.3256471359043,2418300.0,0.3643444722331033,1,4,16.749,426,1636,1267,11.0,188
9,Gulkana,2015-09-21 15:07:13,1971.07958984375,15261300.0,0.9844412191582004,1,2,17.567,1162,2438,1858,14.0,172
10,Gulkana,2017-09-26 15:07:02,1977.79150390625,14346900.0,0.9850460359636656,1,2,17.567,1162,2438,1858,14.0,172
11,Gulkana,2019-10-07 15:27:37,1931.145751953125,14870400.0,0.9740479216066446,1,2,17.567,1162,2438,1858,14.0,172
12,Gulkana,2020-10-21 15:27:40,1996.66845703125,14813400.0,0.9917385249852712,1,2,17.567,1162,2438,1858,14.0,172
13,Gulkana,2021-09-08 15:17:39,1947.6976318359373,3423100.0,0.6014830173428687,1,2,17.567,1162,2438,1858,14.0,172
14,Gulkana,2022-10-31 15:27:35,1933.805419921875,14654800.0,0.9457455390274596,1,2,17.567,1162,2438,1858,14.0,172
15,LemonCreek,2013-09-25 14:08:30,1019.67333984375,6764400.0,0.7805587288399626,1,6,9.528,676,1494,1123,10.0,327
16,LemonCreek,2016-10-12 14:00:46,1047.029296875,6544800.0,0.7078061125170333,1,6,9.528,676,1494,1123,10.0,327
17,LemonCreek,2017-09-20 14:06:47,1059.6552734375,3566700.0,0.4031946281412147,1,6,9.528,676,1494,1123,10.0,327
18,LemonCreek,2018-07-31 14:26:02,1047.0703125,6674200.0,0.6960412147505423,1,6,9.528,676,1494,1123,10.0,327
19,LemonCreek,2019-08-02 14:18:52,1021.713134765625,1581100.0,0.2297509372547879,1,6,9.528,676,1494,1123,10.0,327
20,LemonCreek,2020-09-05 14:18:52,1008.00048828125,7539100.0,0.7891618602995824,1,6,9.528,676,1494,1123,10.0,327
21,LemonCreek,2021-09-18 14:28:41,1010.657470703125,7237500.0,0.7627091851789403,1,6,9.528,676,1494,1123,10.0,327
22,LemonCreek,2022-09-19 14:00:46,1051.7080078125,6433200.0,0.8534925373134329,1,6,9.528,676,1494,1123,10.0,327
23,SouthCascade,2013-07-28 12:51:27,1910.146484375,528300.0,0.4253623188405797,2,4,2.924,1613,2196,1891,12.8,350
24,SouthCascade,2015-10-04 13:20:18,1951.154541015625,538300.0,0.2989725076367676,2,4,2.924,1613,2196,1891,12.8,350
25,SouthCascade,2017-09-28 13:19:53,1922.873046875,484900.0,0.2693140794223826,2,4,2.924,1613,2196,1891,12.8,350
26,SouthCascade,2018-10-23 13:15:26,1926.111328125,784000.0,0.4354104187493058,2,4,2.924,1613,2196,1891,12.8,350
27,SouthCascade,2019-08-14 13:21:08,1926.4599609375,858500.0,0.6297681924882629,2,4,2.924,1613,2196,1891,12.8,350
28,SouthCascade,2020-10-02 13:21:08,1907.48876953125,1007600.0,0.5595912473619904,2,4,2.924,1613,2196,1891,12.8,350
29,SouthCascade,2021-09-24 13:11:06,1932.2108154296875,525400.0,0.2918078311580117,2,4,2.924,1613,2196,1891,12.8,350
30,SouthCascade,2022-10-17 13:21:07,1947.3831787109373,306000.0,0.169952790891419,2,4,2.924,1613,2196,1891,12.8,350
31,Sperry,2014-09-21 12:24:27,2502.8206161957232,120600.0,0.1709183673469387,2,5,1.281,2248,2761,2383,18.9,345
32,Sperry,2016-08-30 12:42:58,2505.0,186227.36408084663,0.2326423576423576,2,5,1.281,2248,2761,2383,18.9,345
33,Sperry,2018-08-15 12:23:47,2503.5556145877367,129600.0,0.3461538461538461,2,5,1.281,2248,2761,2383,18.9,345
34,Sperry,2019-08-07 12:41:04,2511.11871101501,353762.0190456878,0.4354620401132029,2,5,1.281,2248,2761,2383,18.9,345
35,Sperry,2020-08-21 12:40:52,2517.290862236515,373654.26029747975,0.4615954556680661,2,5,1.281,2248,2761,2383,18.9,345
36,Sperry,2021-09-03 12:50:54,2537.492827200376,77769.6668034883,0.0957302817767934,2,5,1.281,2248,2761,2383,18.9,345
37,Sperry,2022-09-28 12:50:46,2510.8734029564075,88165.61198030422,0.1270710272295058,2,5,1.281,2248,2761,2383,18.9,345
